Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2020,09,09,11.8,1,Y
IDCJAC0010,070351,2020,09,10,14.6,1,Y
IDCJAC0010,070351,2020,09,11,17.8,1,Y
IDCJAC0010,070351,2020,09,12,19.3,1,Y
IDCJAC0010,070351,2020,09,13,15.8,1,Y
IDCJAC0010,070351,2020,09,14,20.1,1,Y
IDCJAC0010,070351,2020,09,15,20.5,1,Y
IDCJAC0010,070351,2020,09,16,21.0,1,Y
IDCJAC0010,070351,2020,09,17,23.1,1,Y
IDCJAC0010,070351,2020,09,18,16.8,1,Y
IDCJAC0010,070351,2020,09,19,22.1,1,Y
IDCJAC0010,070351,2020,09,20,17.8,1,Y
IDCJAC0010,070351,2020,09,21,23.8,1,Y
IDCJAC0010,070351,2020,09,22,18.3,1,Y
IDCJAC0010,070351,2020,09,23,14.6,1,Y
IDCJAC0010,070351,2020,09,24,13.1,1,Y
IDCJAC0010,070351,2020,09,25,11.3,1,Y
IDCJAC0010,070351,2020,09,26,10.5,1,Y
IDCJAC0010,070351,2020,09,27,14.5,1,Y
IDCJAC0010,070351,2020,09,28,16.7,1,Y
IDCJAC0010,070351,2020,09,29,18.0,1,Y
IDCJAC0010,070351,2020,09,30,17.1,1,Y
IDCJAC0010,070351,2020,10,01,17.2,1,Y
IDCJAC0010,070351,2020,10,02,22.0,1,Y
IDCJAC0010,070351,2020,10,03,24.0,1,Y
IDCJAC0010,070351,2020,10,04,25.3,1,Y
IDCJAC0010,070351,2020,10,05,24.3,1,Y
IDCJAC0010,070351,2020,10,06,16.8,1,Y
IDCJAC0010,070351,2020,10,07,16.3,1,Y
IDCJAC0010,070351,2020,10,08,18.6,1,Y
IDCJAC0010,070351,2020,10,09,15.4,1,Y
IDCJAC0010,070351,2020,10,10,19.0,1,Y
IDCJAC0010,070351,2020,10,11,21.5,1,Y
IDCJAC0010,070351,2020,10,12,22.5,1,Y
IDCJAC0010,070351,2020,10,13,25.2,1,Y
IDCJAC0010,070351,2020,10,14,21.2,1,Y
IDCJAC0010,070351,2020,10,15,25.3,1,Y
IDCJAC0010,070351,2020,10,16,21.2,1,Y
IDCJAC0010,070351,2020,10,17,20.5,1,Y
IDCJAC0010,070351,2020,10,18,20.5,1,Y
IDCJAC0010,070351,2020,10,19,19.7,1,Y
IDCJAC0010,070351,2020,10,20,21.0,1,Y
IDCJAC0010,070351,2020,10,21,23.3,1,Y
IDCJAC0010,070351,2020,10,22,24.4,1,Y
IDCJAC0010,070351,2020,10,23,26.4,1,Y
IDCJAC0010,070351,2020,10,24,20.3,1,Y
IDCJAC0010,070351,2020,10,25,13.5,1,Y
IDCJAC0010,070351,2020,10,26,12.8,1,Y
IDCJAC0010,070351,2020,10,27,16.1,1,Y
IDCJAC0010,070351,2020,10,28,19.5,1,Y
IDCJAC0010,070351,2020,10,29,20.4,1,Y
IDCJAC0010,070351,2020,10,30,20.9,1,Y
IDCJAC0010,070351,2020,10,31,14.2,1,Y
IDCJAC0010,070351,2020,11,01,21.3,1,N
IDCJAC0010,070351,2020,11,02,21.9,1,N
IDCJAC0010,070351,2020,11,03,24.6,1,N
IDCJAC0010,070351,2020,11,04,26.8,1,N
IDCJAC0010,070351,2020,11,05,11.6,1,N
IDCJAC0010,070351,2020,11,06,19.8,1,N
IDCJAC0010,070351,2020,11,07,20.2,1,N
IDCJAC0010,070351,2020,11,08,20.1,1,N
IDCJAC0010,070351,2020,11,09,22.0,1,N
IDCJAC0010,070351,2020,11,10,25.1,1,N
IDCJAC0010,070351,2020,11,11,26.9,1,N
IDCJAC0010,070351,2020,11,12,22.5,1,N
IDCJAC0010,070351,2020,11,13,23.9,1,N
IDCJAC0010,070351,2020,11,14,22.8,1,N
IDCJAC0010,070351,2020,11,15,27.7,1,N
IDCJAC0010,070351,2020,11,16,28.0,1,N
IDCJAC0010,070351,2020,11,17,24.0,1,N
IDCJAC0010,070351,2020,11,18,25.8,1,N
IDCJAC0010,070351,2020,11,19,28.6,1,N
IDCJAC0010,070351,2020,11,20,33.5,1,N
IDCJAC0010,070351,2020,11,21,29.4,1,N
IDCJAC0010,070351,2020,11,22,27.3,1,N
IDCJAC0010,070351,2020,11,23,20.8,1,N
IDCJAC0010,070351,2020,11,24,23.8,1,N
IDCJAC0010,070351,2020,11,25,26.1,1,N
IDCJAC0010,070351,2020,11,26,30.9,1,N
IDCJAC0010,070351,2020,11,27,31.4,1,N
