Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2020,07,19,15.4,1,N
IDCJAC0010,009225,2020,07,20,18.6,1,N
IDCJAC0010,009225,2020,07,21,20.6,1,N
IDCJAC0010,009225,2020,07,22,23.5,1,N
IDCJAC0010,009225,2020,07,23,19.2,1,N
IDCJAC0010,009225,2020,07,24,18.9,1,N
IDCJAC0010,009225,2020,07,25,22.4,1,N
IDCJAC0010,009225,2020,07,26,20.8,1,N
IDCJAC0010,009225,2020,07,27,24.4,1,N
IDCJAC0010,009225,2020,07,28,19.3,1,N
IDCJAC0010,009225,2020,07,29,21.0,1,N
IDCJAC0010,009225,2020,07,30,21.1,1,N
IDCJAC0010,009225,2020,07,31,19.8,1,N
IDCJAC0010,009225,2020,08,01,19.2,1,Y
IDCJAC0010,009225,2020,08,02,19.2,1,Y
IDCJAC0010,009225,2020,08,03,12.1,1,Y
IDCJAC0010,009225,2020,08,04,16.0,1,Y
IDCJAC0010,009225,2020,08,05,19.9,1,Y
IDCJAC0010,009225,2020,08,06,18.9,1,Y
IDCJAC0010,009225,2020,08,07,16.3,1,Y
IDCJAC0010,009225,2020,08,08,21.7,1,Y
IDCJAC0010,009225,2020,08,09,16.8,1,Y
IDCJAC0010,009225,2020,08,10,19.1,1,Y
IDCJAC0010,009225,2020,08,11,18.6,1,Y
IDCJAC0010,009225,2020,08,12,17.5,1,Y
IDCJAC0010,009225,2020,08,13,17.1,1,Y
IDCJAC0010,009225,2020,08,14,18.5,1,Y
IDCJAC0010,009225,2020,08,15,21.8,1,Y
IDCJAC0010,009225,2020,08,16,15.7,1,Y
IDCJAC0010,009225,2020,08,17,17.3,1,Y
IDCJAC0010,009225,2020,08,18,16.7,1,Y
IDCJAC0010,009225,2020,08,19,18.8,1,Y
IDCJAC0010,009225,2020,08,20,20.0,1,Y
IDCJAC0010,009225,2020,08,21,19.1,1,Y
IDCJAC0010,009225,2020,08,22,22.2,1,Y
IDCJAC0010,009225,2020,08,23,19.5,1,Y
IDCJAC0010,009225,2020,08,24,20.4,1,Y
IDCJAC0010,009225,2020,08,25,20.8,1,Y
IDCJAC0010,009225,2020,08,26,21.1,1,Y
IDCJAC0010,009225,2020,08,27,25.4,1,Y
IDCJAC0010,009225,2020,08,28,23.5,1,Y
IDCJAC0010,009225,2020,08,29,17.8,1,Y
IDCJAC0010,009225,2020,08,30,20.5,1,Y
IDCJAC0010,009225,2020,08,31,20.8,1,Y
IDCJAC0010,009225,2020,09,01,17.0,1,Y
IDCJAC0010,009225,2020,09,02,19.5,1,Y
IDCJAC0010,009225,2020,09,03,20.2,1,Y
IDCJAC0010,009225,2020,09,04,21.6,1,Y
IDCJAC0010,009225,2020,09,05,22.2,1,Y
IDCJAC0010,009225,2020,09,06,21.1,1,Y
IDCJAC0010,009225,2020,09,07,18.9,1,Y
IDCJAC0010,009225,2020,09,08,20.4,1,Y
IDCJAC0010,009225,2020,09,09,24.8,1,Y
IDCJAC0010,009225,2020,09,10,19.0,1,Y
